"EcolGroup","emmean","SE","df","lower.CL","upper.CL","var","test.categ","ecol"
"Marine",2.38549320733327,0.849196866132257,147.425838059312,0.707322305063768,4.06366410960278,"FAS","warm","salintyComb"
"Marine; brackish",0.790239050322374,1.34590944457702,155.217688958597,-1.86842380920884,3.44890190985359,"FAS","warm","salintyComb"
"Marine; freshwater; brackish",1.62993385973585,0.861371822707177,160.124641893478,-0.0711806063689793,3.33104832584068,"FAS","warm","salintyComb"
"benthopelagic",-1.60963988898218,0.0905076165254564,78.0501732852258,-1.7898248876196,-1.42945489034476,"RMR","opt","DemersPelag"
"demersal",-1.74574211850397,0.117974035692041,91.1479150348947,-1.98007792459854,-1.5114063124094,"RMR","opt","DemersPelag"
"pelagic",-0.953440359635349,0.300697546958483,83.0704541133095,-1.5515081850605,-0.355372534210198,"RMR","opt","DemersPelag"
"reef-associated",-1.93695777269281,0.154672911842283,79.79808372128,-2.24477863398508,-1.62913691140053,"RMR","opt","DemersPelag"
"dorsoventrflattened",-3.83903629182373,0.612730446670581,152.253501265884,-5.04958794120691,-2.62848464244054,"RMR","opt","BodyShapeI"
"eel-like",-3.395852399493,0.68178320473317,204.643139407325,-4.74007247067893,-2.05163232830708,"RMR","opt","BodyShapeI"
"elongated",-1.54269121009293,0.12447322544529,96.8716754983491,-1.78974023962689,-1.29564218055896,"RMR","opt","BodyShapeI"
"fusiform",-1.6685812381263,0.0788505158913021,74.8413769493191,-1.82566497770816,-1.51149749854445,"RMR","opt","BodyShapeI"
"short/deep",-1.76480535178592,0.163695771237911,75.6925333107363,-2.09085515414598,-1.43875554942586,"RMR","opt","BodyShapeI"
"Polar",-1.57299109290251,0.361363119777287,194.904720512084,-2.28567507719148,-0.86030710861353,"RMR","opt","Climate"
"Subtropical",-1.63680452717864,0.0980444625544203,84.9093107582365,-1.831746191362,-1.44186286299529,"RMR","opt","Climate"
"Temperate",-1.62460742221856,0.120096057749144,85.4087700606238,-1.86337406271616,-1.38584078172096,"RMR","opt","Climate"
"Tropical",-1.83439516414385,0.135551140145211,68.1216745049355,-2.10487450522557,-1.56391582306213,"RMR","opt","Climate"
"Freshwater",-1.62048925631226,0.123266220790266,93.6352000065788,-1.86524965900052,-1.375728853624,"RMR","opt","salintyComb"
"Freshwater; brackish",-1.64130181559863,0.138263756195222,68.9353794328005,-1.91713507497925,-1.36546855621802,"RMR","opt","salintyComb"
"Marine",-1.75561180656621,0.131103293120248,82.6202906965354,-2.01638870792794,-1.49483490520447,"RMR","opt","salintyComb"
"Marine; brackish",-1.79066271841257,0.286502928579913,139.569657746986,-2.35710962520908,-1.22421581161605,"RMR","opt","salintyComb"
"Marine; freshwater; brackish",-1.67536421274741,0.155120638729639,76.0602360830622,-1.98430978331982,-1.366418642175,"RMR","opt","salintyComb"
"benthopelagic",-1.32707010653048,0.235842435525575,30.6129595005162,-1.80832052838959,-0.845819684671364,"RMR","warm","DemersPelag"
"demersal",-1.50369478484351,0.241640133971403,33.7803582429497,-1.99488425764134,-1.01250531204568,"RMR","warm","DemersPelag"
"pelagic",-0.346281022039441,0.452607580350931,34.1438380848448,-1.26594758538865,0.573385541309767,"RMR","warm","DemersPelag"
"reef-associated",-2.02950263305878,0.237347836684285,31.5263738286925,-2.51324936848522,-1.54575589763234,"RMR","warm","DemersPelag"
