"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5","tempTestK1000_inC"
3.49335781574325,1.45954055100434,0.736652136189893,0.397030747646415,0.601156213873783,11.1075357993318
3.54335781574325,1.45954055100434,0.640034709275488,0.264095335940324,0.478984692108123,7.06818173625243
3.59335781574325,1.45954055100434,0.543417282361084,0.131159924234233,0.366971401660511,3.14123935801507
3.64335781574325,1.45954055100434,0.446799855446679,-0.00177548747185838,0.261728394154527,-0.677919415733356
3.19335781574325,1.95954055100434,1.76336922132701,1.59376621881701,1.76759383845983,38
3.24335781574325,1.95954055100434,1.65818480892649,1.46083080711092,1.64542231669417,33.1724413741837
3.29335781574325,1.95954055100434,1.55300039652596,1.32789539540483,1.52325079492851,28.4914674469003
3.34335781574325,1.95954055100434,1.44781598412543,1.19495998369874,1.40107927316285,23.9505016846193
3.39335781574325,1.95954055100434,1.3426315717249,1.06202457199265,1.27890775139719,19.5433551659561
3.44335781574325,1.95954055100434,1.23744715932438,0.929089160286556,1.15673622963153,15.2641984396555
3.49335781574325,1.95954055100434,1.13226274692385,0.796153748580466,1.03456470786587,11.1075357993318
3.54335781574325,1.95954055100434,1.02707833452332,0.663218336874374,0.91239318610021,7.06818173625243
3.59335781574325,1.95954055100434,0.921893922122796,0.530282925168284,0.790937019404082,3.14123935801507
3.64335781574325,1.95954055100434,0.816709509722268,0.397347513462192,0.689787620415442,-0.677919415733356
3.19335781574325,2.45954055100434,2.21038174497771,1.99288921975106,2.20100233245191,38
3.24335781574325,2.45954055100434,2.09663034709106,1.85995380804497,2.07883081068625,33.1724413741837
3.29335781574325,2.45954055100434,1.98287894920441,1.72701839633888,1.95665928892059,28.4914674469003
3.34335781574325,2.45954055100434,1.86912755131776,1.59408298463279,1.83448776715493,23.9505016846193
3.39335781574325,2.45954055100434,1.75537615343111,1.4611475729267,1.71231624538927,19.5433551659561
3.44335781574325,2.45954055100434,1.64162475554446,1.3282121612206,1.59014472362362,15.2641984396555
